dates 1 2 3 
1996.8415300546 1014.5 -1 0
1996.8418715847 1013.7 0.3 0
1996.8422131148 1011 0 0
1996.8425546448 1011.9 -1 0
1996.8428961749 1011.4 -3.4 0
1996.8432377049 1012.9 -3.9 0
1996.843579235 1015.7 -4.1 0
1996.843920765 1018.4 -6.6 0
1996.8442622951 1020.1 -0.7 1.7
1996.8446038251 1021.4 -0.2 1.7
1996.8449453552 1022.4 -3.7 1.7
1996.8452868852 1023.5 -4.5 1.7
1996.8456284153 1025.3 -5.6 1.7
1996.8459699454 1025.3 -3.4 1.7
1996.8463114754 1023.9 -3.8 1.7
1996.8466530055 1022.2 -3.5 1.7
1996.8469945355 1018.4 -3.3 40.4
1996.8473360656 1015.2 -1.6 40.4
1996.8476775956 1012.5 4.4 40.4
1996.8480191257 1010.8 6.6 40.4
1996.8483606557 1009.5 6.4 40.4
1996.8487021858 1006.7 6.7 40.4
1996.8490437158 1002.7 6.5 40.4
1996.8493852459 996.4 5.8 40.4
1996.849726776 983.9 4.4 27.2
1996.850068306 982.3 6 27.2
1996.8504098361 990.4 3.4 27.2
1996.8507513661 998.6 0.4 27.2
1996.8510928962 1003.8 -0.6 27.2
1996.8514344262 1007.3 -1 27.2
1996.8517759563 1010.1 -1.6 27.2
1996.8521174863 1011.4 -3.9 27.2
1996.8524590164 1012.2 0.7 0.6
1996.8528005464 1010.1 1.8 0.6
1996.8531420765 1009.3 0 0.6
1996.8534836066 1010 -1.6 0.6
1996.8538251366 1009.9 -3.8 0.6
1996.8541666667 1008.8 -4.2 0.6
1996.8545081967 1008.8 -3.8 0.6
1996.8548497268 1010.5 -5.5 0.6
1996.8551912568 1012.3 -3.6 0
1996.8555327869 1013 -1.4 0
1996.8558743169 1015.3 -5.9 0
1996.856215847 1017.9 -6 0
1996.856557377 1019.8 -5.9 0
1996.8568989071 1019.8 -7 0
1996.8572404372 1017.5 -6 0
1996.8575819672 1015.8 -4.8 0
1996.8579234973 1010.3 -5.8 16.4
1996.8582650273 1003.3 -4.2 16.4
1996.8586065574 998.9 -3.6 16.4
1996.8589480874 995.8 -2.8 16.4
1996.8592896175 994.5 -2.6 16.4
1996.8596311475 995.5 -4 16.4
1996.8599726776 995.5 -4.2 16.4
1996.8603142076 998.2 -4 16.4
1996.8606557377 1000.1 -1.1 0
1996.8609972678 1000.1 -2.6 0
1996.8613387978 999.1 -5 0
1996.8616803279 997.9 -9.5 0
1996.8620218579 997.2 -9.2 0
1996.862363388 997.8 -8.2 0
1996.862704918 997.7 -7.1 0
1996.8630464481 998.5 -9.4 0
1996.8633879781 999.2 -5.7 0
1996.8637295082 998.2 -3.5 0
1996.8640710383 997.3 -6.9 0
1996.8644125683 996.3 -11.1 0
1996.8647540984 993.6 -12.2 0
1996.8650956284 990.4 -13.4 0
1996.8654371585 989.1 -14.1 0
1996.8657786885 987.6 -12.6 0
1996.8661202186 987.2 -8.2 0
1996.8664617486 986 -4.4 0
1996.8668032787 986.2 -8 0
1996.8671448087 988.2 -9.1 0
1996.8674863388 988.3 -11.9 0
1996.8678278689 986.4 -10.1 0
1996.8681693989 986.4 -11.2 0
1996.868510929 987.9 -9.5 0
1996.868852459 986 -5.4 0
1996.8691939891 984.6 -3.5 0
1996.8695355191 985 -5.9 0
1996.8698770492 985.7 -7.6 0
1996.8702185792 986.2 -8 0
1996.8705601093 986.9 -10.2 0
1996.8709016393 986.9 -11 0
1996.8712431694 986.7 -8 0
1996.8715846995 986.3 -2.2 0
1996.8719262295 985.5 -0.5 0
1996.8722677596 984.7 -4.2 0
1996.8726092896 984 -7.4 0
1996.8729508197 983.1 -8.6 0
1996.8732923497 983.1 -9.2 0
1996.8736338798 984 -9.9 0
1996.8739754098 985 -8.6 0
1996.8743169399 986.4 -2.6 0
1996.8746584699 986.2 0.2 0
1996.875 988.1 -4 0
1996.8753415301 990.9 -7.3 0
1996.8756830601 991.5 -7.8 0
1996.8760245902 992.2 -8.6 0
1996.8763661202 992.6 -9.2 0
1996.8767076503 993.5 -8.8 0
1996.8770491803 993.8 -6.2 0
1996.8773907104 993.6 -2 0
1996.8777322404 994.5 -5.5 0
1996.8780737705 995.6 -8.5 0
1996.8784153005 997.9 -8 0
1996.8787568306 998.7 -8.9 0
1996.8790983607 999.5 -7.7 0
1996.8794398907 1000.8 -8.7 0
1996.8797814208 1000 -1.6 0
1996.8801229508 999.5 -0.2 0
1996.8804644809 999.1 -4 0
1996.8808060109 999.2 -8.4 0
1996.881147541 999.8 -9.5 0
1996.881489071 999.7 -6.4 0
1996.8818306011 1001.6 -7.3 0
1996.8821721311 1003.5 -7.6 0
1996.8825136612 1004.5 -4.8 0
1996.8828551913 1004.1 -1.7 0
1996.8831967213 1004.7 -5 0
1996.8835382514 1004.3 -5.5 0
1996.8838797814 1004.5 -5 0
1996.8842213115 1003.8 -6.2 0
1996.8845628415 1003.2 -6.8 0
1996.8849043716 1003.8 -9 0
1996.8852459016 1004.9 -5.4 0
1996.8855874317 1004.1 -3.7 0
1996.8859289617 1004.8 -6.1 0
1996.8862704918 1008.3 -6.6 0
1996.8866120219 1009.2 -7.9 0
1996.8869535519 1011 -9.1 0
1996.887295082 1013.7 -9.7 0
1996.887636612 1015.5 -8.4 0
1996.8879781421 1016.3 -3.8 0
