dates    nao    ???
1950.00    0.92000   0.00
1950.08    0.40000   0.00
1950.17   -0.36000   0.00
1950.25    0.73000   0.00
1950.33   -0.59000   0.00
1950.42   -0.06000   0.00
1950.50   -1.26000   0.00
1950.58   -0.05000   0.00
1950.67    0.25000   0.00
1950.75    0.85000   0.00
1950.83   -1.26000   0.00
1950.92   -1.02000   0.00
1951.00    0.08000   0.00
1951.08    0.70000   0.00
1951.17   -1.02000   0.00
1951.25   -0.22000   0.00
1951.33   -0.59000   0.00
1951.42   -1.64000   0.00
1951.50    1.37000   0.00
1951.58   -0.22000   0.00
1951.67   -1.36000   0.00
1951.75    1.87000   0.00
1951.83   -0.39000   0.00
1951.92    1.32000   0.00
1952.00    0.93000   0.00
1952.08   -0.83000   0.00
1952.17   -1.49000   0.00
1952.25    1.01000   0.00
1952.33   -1.12000   0.00
1952.42   -0.40000   0.00
1952.50   -0.09000   0.00
1952.58   -0.28000   0.00
1952.67   -0.54000   0.00
1952.75   -0.73000   0.00
1952.83   -1.13000   0.00
1952.92   -0.43000   0.00
1953.00    0.33000   0.00
1953.08   -0.49000   0.00
1953.17   -0.04000   0.00
1953.25   -1.67000   0.00
1953.33   -0.66000   0.00
1953.42    1.09000   0.00
1953.50    0.40000   0.00
1953.58   -0.71000   0.00
1953.67   -0.35000   0.00
1953.75    1.32000   0.00
1953.83    1.04000   0.00
1953.92   -0.47000   0.00
1954.00    0.37000   0.00
1954.08    0.74000   0.00
1954.17   -0.83000   0.00
1954.25    1.34000   0.00
1954.33   -0.09000   0.00
1954.42   -0.25000   0.00
1954.50   -0.60000   0.00
1954.58   -1.90000   0.00
1954.67   -0.44000   0.00
1954.75    0.60000   0.00
1954.83    0.40000   0.00
1954.92    0.69000   0.00
1955.00   -1.84000   0.00
1955.08   -1.12000   0.00
1955.17   -0.53000   0.00
1955.25   -0.42000   0.00
1955.33   -0.34000   0.00
1955.42   -1.10000   0.00
1955.50    1.76000   0.00
1955.58    1.07000   0.00
1955.67    0.32000   0.00
1955.75   -1.47000   0.00
1955.83   -1.29000   0.00
1955.92    0.17000   0.00
1956.00   -0.22000   0.00
1956.08   -1.12000   0.00
1956.17   -0.05000   0.00
1956.25   -1.06000   0.00
1956.33    2.21000   0.00
1956.42    0.10000   0.00
1956.50   -0.75000   0.00
1956.58   -1.37000   0.00
