dates    amo    ???
1856.00    0.24300   0.00
1856.08    0.17600   0.00 
1856.17    0.24800   0.00 
1856.25    0.16700   0.00 
1856.33    0.21900   0.00 
1856.42    0.24100   0.00 
1856.50    0.25500   0.00 
1856.58    0.23200   0.00 
1856.67    0.29900   0.00 
1856.75    0.14900   0.00 
1856.83    0.15900   0.00 
1856.92    0.25300   0.00 
1857.00    0.23800   0.00 
1857.08   -0.03500   0.00 
1857.17   -0.05000   0.00 
1857.25    0.03200   0.00 
1857.33   -0.00800   0.00 
1857.42    0.12400   0.00 
1857.50    0.15600   0.00 
1857.58    0.02200   0.00 
1857.67    0.04300   0.00 
1857.75   -0.11000   0.00 
1857.83   -0.14400   0.00 
1857.92   -0.25900   0.00 
1858.00   -0.19700   0.00 
1858.08   -0.29000   0.00 
1858.17   -0.04600   0.00 
1858.25    0.23500   0.00 
1858.33    0.11300   0.00 
1858.42   -0.01600   0.00 
1858.50   -0.13700   0.00 
1858.58   -0.04700   0.00 
1858.67    0.09400   0.00 
1858.75    0.17200   0.00 
1858.83    0.29900   0.00 
1858.92    0.14600   0.00 
1859.00   -0.10900   0.00 
1859.08   -0.09700   0.00 
1859.17    0.08300   0.00 
1859.25    0.17300   0.00 
1859.33    0.11000   0.00 
1859.42   -0.07800   0.00 
1859.50   -0.15800   0.00 
1859.58    0.08600   0.00 
1859.67    0.10300   0.00 
1859.75    0.15100   0.00 
1859.83    0.08300   0.00 
1859.92    0.10500   0.00 
1860.00    0.13800   0.00 
1860.08   -0.08900   0.00 
1860.17    0.08400   0.00 
1860.25   -0.04600   0.00 
1860.33    0.19200   0.00 
1860.42    0.32600   0.00 
1860.50    0.25200   0.00 
1860.58    0.06200   0.00 
1860.67    0.01800   0.00 
1860.75    0.13200   0.00 
1860.83    0.01500   0.00 
1860.92    0.16400   0.00 
1861.00    0.02300   0.00 
1861.08   -0.08700   0.00 
1861.17    0.01600   0.00 
1861.25    0.27000   0.00 
1861.33    0.21700   0.00 
1861.42    0.31400   0.00 
1861.50    0.43600   0.00 
1861.58    0.32400   0.00 
1861.67    0.28100   0.00 
1861.75    0.23600   0.00 
1861.83    0.23800   0.00 
1861.92    0.13700   0.00 
1862.00   -0.00600   0.00 
1862.08   -0.14200   0.00 
1862.17   -0.05100   0.00 
1862.25   -0.10400   0.00 
1862.33   -0.16000   0.00 
1862.42   -0.02300   0.00 
1862.50   -0.27200   0.00 
1862.58   -0.24600   0.00 
1862.67   -0.23500   0.00 
1862.75   -0.24400   0.00 
1862.83   -0.33100   0.00 
1862.92   -0.33700   0.00 
1863.00   -0.12500   0.00 
1863.08   -0.02300   0.00 
1863.17    0.04900   0.00 
1863.25    0.07100   0.00 
1863.33    0.04400   0.00 
1863.42   -0.02100   0.00 
1863.50   -0.27300   0.00 
1863.58   -0.27900   0.00 
1863.67   -0.13700   0.00 
1863.75   -0.21300   0.00 
1863.83   -0.15700   0.00 
1863.92   -0.09500   0.00 
1864.00   -0.18500   0.00 
1864.08   -0.33500   0.00 
1864.17   -0.16100   0.00 
1864.25   -0.01500   0.00 
1864.33    0.09300   0.00 
1864.42    0.13600   0.00 
1864.50    0.28100   0.00 
1864.58    0.36800   0.00 
1864.67    0.21500   0.00 
1864.75    0.14600   0.00 
1864.83    0.20700   0.00 
1864.92    0.20900   0.00 
1865.00    0.20800   0.00 
1865.08    0.26800   0.00 
1865.17    0.18100   0.00 
1865.25    0.07700   0.00 
1865.33    0.04600   0.00 
1865.42    0.21600   0.00 
1865.50    0.13800   0.00 
1865.58    0.05800   0.00 
1865.67    0.30100   0.00 
1865.75    0.26800   0.00 
1865.83    0.23200   0.00 
1865.92    0.23200   0.00 
1866.00    0.06500   0.00 
1866.08    0.19200   0.00 
1866.17    0.22700   0.00 
1866.25    0.14600   0.00 
1866.33    0.18900   0.00 
1866.42    0.36500   0.00 
1866.50    0.29500   0.00 
1866.58    0.27300   0.00 
1866.67    0.16200   0.00 
1866.75    0.15500   0.00 
1866.83    0.28100   0.00 
1866.92    0.29000   0.00 
1867.00    0.32500   0.00 
1867.08    0.29800   0.00 
1867.17    0.40000   0.00 
1867.25    0.31000   0.00 
