dates values
1996.84096 0
1996.84369 0
1996.84642 0
1996.84915 0
1996.85188 0
1996.85461 0
1996.85734 0
1996.86007 0
1996.8628 0
1996.86553 0
1996.86826 0
1996.87099 0
1996.87372 0
1996.87645 0
1996.87918 0
1996.88191 0
1996.88464 0
1996.88737 0
1996.8901 0
1996.89283 0
1996.89556 0
1996.89829 0
1996.90102 0
1996.90375 0
1996.90648 0
1996.90922 0
1996.91195 0
1996.91468 0
1996.91741 0
1996.92014 0
1996.92287 0
1996.9256 0
1996.92833 0
1996.93106 0
1996.93379 0
1996.93652 0
1996.93925 0
1996.94198 0
1996.94471 0
1996.94744 0
1996.95017 0
1996.9529 0
1996.95563 0
1996.95836 0
1996.96109 0
1996.96382 0
1996.96655 0
1996.96928 0
1996.97201 0
1996.97474 0
1996.97747 0
1996.9802 0
1996.98294 0
1996.98567 0
1996.9884 0
1996.99113 0
1996.99386 0
1996.99659 0
1997.0 0
1997.00274 0
1997.00548 0
1997.00821 0
1997.01095 0
1997.01369 0
1997.01643 0
1997.01916 0
1997.0219 0
1997.02464 0
1997.02738 0
1997.03012 0
1997.03285 0
1997.03559 0
1997.03833 0
1997.04107 0
1997.04381 0
1997.04654 0
1997.04928 0
1997.05202 0
1997.05476 0
1997.05749 0
1997.06023 0
1997.06297 0
1997.06571 0
1997.06845 0
1997.07118 0
1997.07392 0
1997.07666 0
1997.0794 0
1997.08214 0
1997.08487 0
1997.08761 0
1997.09035 0
1997.09309 0
1997.09582 0
1997.09856 0
1997.1013 0
1997.10404 0
1997.10678 0
1997.10951 0
1997.11225 0
1997.11499 0
1997.11773 0
1997.12047 0
1997.1232 0
1997.12594 0
1997.12868 0
1997.13142 0
1997.13415 0
1997.13689 0
1997.13963 0
1997.14237 0
1997.14511 0
1997.14784 0
1997.15058 0
1997.15332 0
1997.15606 0
1997.1588 0
1997.16153 0
1997.16427 0
1997.16701 0
1997.16975 0
1997.17248 0
1997.17522 0
1997.17796 0
1997.1807 0
1997.18344 0
1997.18617 0
1997.18891 0
1997.19165 0
1997.19439 0
1997.19713 0
1997.19986 0
1997.2026 1
1997.20534 0
1997.20808 0
1997.21081 0
1997.21355 0
1997.21629 0
1997.21903 0
1997.22177 0
1997.2245 0
1997.22724 0
1997.22998 0
1997.23272 0
1997.23546 0
1997.23819 1
1997.24093 0
1997.24367 0
1997.24641 0
1997.24914 0
1997.25188 0
1997.25462 0
1997.25736 0
1997.2601 0
1997.26283 0
1997.26557 0
1997.26831 0
1997.27105 0
1997.27379 0
1997.27652 0
1997.27926 0
1997.282 0
1997.28474 0
1997.28747 0
1997.29021 0
1997.29295 0
1997.29569 0
1997.29843 0
1997.30116 0
1997.3039 0
1997.30664 0
1997.30938 0
1997.31211 0
1997.31485 0
1997.31759 0
1997.32033 0
1997.32307 0
1997.3258 0
1997.32854 0
1997.33128 0
1997.33402 0
1997.33676 0
1997.33949 0
1997.34223 0
1997.34497 0
1997.34771 0
1997.35044 0
1997.35318 0
1997.35592 0
1997.35866 0
1997.3614 0
1997.36413 0
1997.36687 0
1997.36961 0
1997.37235 0
1997.37509 0
1997.37782 0
1997.38056 0
1997.3833 0
1997.38604 0
1997.38877 0
1997.39151 0
1997.39425 0
1997.39699 0
1997.39973 0
1997.40246 0
1997.4052 0
1997.40794 0
1997.41068 0
1997.41342 0
1997.41615 0
1997.41889 0
1997.42163 0
1997.42437 0
1997.4271 0
1997.42984 0
1997.43258 0
1997.43532 0
1997.43806 0
1997.44079 0
1997.44353 0
1997.44627 0
1997.44901 0
1997.45175 0
1997.45448 0
1997.45722 0
1997.45996 0
1997.4627 0
1997.46543 0
1997.46817 0
1997.47091 0
1997.47365 0
1997.47639 0
1997.47912 0
1997.48186 0
1997.4846 0
1997.48734 0
1997.49008 0
1997.49281 0
1997.49555 0
1997.49829 0
1997.50103 0
1997.50376 0
1997.5065 0
1997.50924 0
1997.51198 0
1997.51472 0
1997.51745 0
1997.52019 0
1997.52293 0
1997.52567 0
1997.52841 0
1997.53114 0
1997.53388 0
1997.53662 0
1997.53936 0
1997.54209 0
1997.54483 0
1997.54757 0
1997.55031 0
1997.55305 0
1997.55578 0
1997.55852 0
1997.56126 0
1997.564 0
1997.56674 0
1997.56947 0
1997.57221 0
1997.57495 0
1997.57769 0
1997.58042 0
1997.58316 0
1997.5859 0
1997.58864 0
1997.59138 0
1997.59411 0
1997.59685 0
1997.59959 0
1997.60233 0
1997.60507 0
1997.6078 0
1997.61054 0
1997.61328 0
