dates    soi    ???
1951.00    2.50000   0.00
1951.08    1.50000   0.00
1951.17   -0.20000   0.00
1951.25   -0.50000   0.00
1951.33   -1.10000   0.00
1951.42    0.30000   0.00
1951.50   -1.70000   0.00
1951.58   -0.40000   0.00
1951.67   -1.80000   0.00
1951.75   -1.60000   0.00
1951.83   -1.30000   0.00
1951.92   -1.20000   0.00
1952.00   -1.50000   0.00
1952.08   -1.00000   0.00
1952.17    0.90000   0.00
1952.25   -0.40000   0.00
1952.33    1.20000   0.00
1952.42    1.20000   0.00
1952.50    0.80000   0.00
1952.58    0.10000   0.00
1952.67   -0.40000   0.00
1952.75    0.60000   0.00
1952.83    0.00000   0.00
1952.92   -2.00000   0.00
1953.00    0.50000   0.00
1953.08   -0.80000   0.00
1953.17   -0.30000   0.00
1953.25    0.30000   0.00
1953.33   -2.80000   0.00
1953.42    0.20000   0.00
1953.50   -0.00000   0.00
1953.58   -2.00000   0.00
1953.67   -2.10000   0.00
1953.75    0.10000   0.00
1953.83   -0.50000   0.00
1953.92   -0.80000   0.00
1954.00    1.10000   0.00
1954.08   -0.50000   0.00
1954.17    0.40000   0.00
1954.25    1.10000   0.00
1954.33    0.80000   0.00
1954.42    0.20000   0.00
1954.50    0.70000   0.00
1954.58    1.80000   0.00
1954.67    0.30000   0.00
1954.75    0.40000   0.00
1954.83    0.20000   0.00
1954.92    2.30000   0.00
1955.00   -0.90000   0.00
1955.08    3.10000   0.00
1955.17    1.10000   0.00
1955.25   -0.20000   0.00
1955.33    1.70000   0.00
1955.42    2.20000   0.00
1955.50    2.60000   0.00
1955.58    2.40000   0.00
1955.67    2.20000   0.00
1955.75    2.50000   0.00
1955.83    2.00000   0.00
1955.92    1.60000   0.00
1956.00    2.20000   0.00
1956.08    2.70000   0.00
1956.17    2.20000   0.00
1956.25    1.50000   0.00
1956.33    2.30000   0.00
1956.42    1.80000   0.00
1956.50    1.80000   0.00
1956.58    2.00000   0.00
1956.67    0.10000   0.00
1956.75    2.90000   0.00
1956.83    0.20000   0.00
1956.92    1.80000   0.00
1957.00    1.00000   0.00
1957.08   -0.10000   0.00
1957.17    0.30000   0.00
1957.25    0.40000   0.00
1957.33   -1.10000   0.00
1957.42    0.30000   0.00
1957.50    0.40000   0.00
1957.58   -0.80000   0.00
1957.67   -1.50000   0.00
1957.75    0.10000   0.00
1957.83   -1.60000   0.00
1957.92   -0.50000   0.00
1958.00   -3.10000   0.00
1958.08   -0.80000   0.00
1958.17    0.40000   0.00
1958.25    0.60000   0.00
1958.33   -0.80000   0.00
1958.42    0.50000   0.00
1958.50    0.70000   0.00
1958.58    1.50000   0.00
1958.67   -0.50000   0.00
1958.75    0.10000   0.00
1958.83   -0.70000   0.00
1958.92   -1.00000   0.00
1959.00   -1.50000   0.00
1959.08   -2.30000   0.00
1959.17    2.10000   0.00
1959.25    0.70000   0.00
1959.33    0.80000   0.00
1959.42   -0.20000   0.00
1959.50   -0.40000   0.00
1959.58   -0.20000   0.00
1959.67    0.00000   0.00
1959.75    0.80000   0.00
1959.83    1.50000   0.00
1959.92    1.50000   0.00
1960.00    0.20000   0.00
1960.08    0.20000   0.00
1960.17    1.70000   0.00
1960.25    1.30000   0.00
1960.33    0.90000   0.00
1960.42    0.20000   0.00
1960.50    0.80000   0.00
1960.58    1.30000   0.00
1960.67    1.10000   0.00
1960.75    0.20000   0.00
1960.83    0.90000   0.00
1960.92    1.30000   0.00
1961.00   -0.40000   0.00
1961.08    1.50000   0.00
1961.17   -3.00000   0.00
1961.25    1.30000   0.00
1961.33    0.50000   0.00
1961.42    0.20000   0.00
1961.50    0.40000   0.00
1961.58    0.20000   0.00
1961.67    0.10000   0.00
1961.75   -0.50000   0.00
1961.83    0.90000   0.00
1961.92    2.50000   0.00
1962.00    3.30000   0.00
1962.08   -0.50000   0.00
1962.17    0.20000   0.00
1962.25    0.30000   0.00
1962.33    1.80000   0.00
1962.42    1.20000   0.00
1962.50    0.10000   0.00
1962.58    1.00000   0.00
1962.67    0.70000   0.00
1962.75    1.60000   0.00
1962.83    0.50000   0.00
1962.92    0.30000   0.00
1963.00    1.70000   0.00
1963.08    0.90000   0.00
1963.17    1.90000   0.00
1963.25    1.30000   0.00
1963.33    0.60000   0.00
1963.42   -0.80000   0.00
1963.50   -0.20000   0.00
1963.58    0.00000   0.00
1963.67   -1.00000   0.00
1963.75   -2.00000   0.00
1963.83   -1.40000   0.00
1963.92   -2.00000   0.00
1964.00   -0.60000   0.00
1964.08    0.10000   0.00
1964.17    1.90000   0.00
1964.25    1.80000   0.00
1964.33    0.40000   0.00
1964.42    1.20000   0.00
1964.50    0.90000   0.00
1964.58    2.50000   0.00
1964.67    2.10000   0.00
1964.75    2.20000   0.00
1964.83    0.30000   0.00
1964.92   -0.50000   0.00
1965.00   -0.70000   0.00
1965.08    0.70000   0.00
