dates tide
1940.00273 -21.38052
1940.00546 -30.30735
1940.00819 -34.10668
1940.01092 -32.57469
1940.01365 -26.47201
1940.01638 -17.32454
1940.01911 -7.095199999999999
1940.02184 2.311807
1940.02457 9.542614
1940.0273 14.01909
1940.03003 15.81182
1940.03276 15.34588
1940.03549 13.204109999999998
1940.03823 10.10896
1940.04096 6.942265
1940.04369 4.650434
1940.04642 4.0632470000000005
1940.04915 5.772098000000001
1940.05188 10.10098
1940.05461 17.00664
1940.05734 25.765439999999998
1940.06007 34.61708
1940.0628 40.82861
1940.06553 41.51564
1940.06826 34.98624
1940.07099 21.82148
1940.07372 4.918261
1940.07645 -11.62725
1940.07918 -24.13624
1940.08191 -30.53417
1940.08464 -30.59896
1940.08737 -25.45448
1940.0901 -16.86836
1940.09283 -6.760583
1940.09556 3.059011
1940.09829 11.10369
1940.10102 16.43981
1940.10375 18.81327
1940.10648 18.55583
1940.10922 16.33725
1940.11195 12.95491
1940.11468 9.268148
1940.11741 6.199417
1940.12014 4.664851
1940.12287 5.414047
1940.1256 8.879091
1940.12833 15.08456
1940.13106 23.52761
1940.13379 32.943380000000005
1940.13652 41.11461
1940.13925 45.11969
1940.14198 42.27813
1940.14471 31.50862
1940.14744 14.29067
1940.15017 -5.539687
1940.1529 -23.22782
1940.15563 -34.98979
1940.15836 -39.27219
1940.16109 -36.79631
1940.16382 -29.65204
1940.16655 -20.21527
1940.16928 -10.50079
1940.17201 -2.018043
1940.17474 4.182897
1940.17747 7.535613
1940.1802 8.031274999999999
1940.18294 6.17814
1940.18567 2.801399
1940.1884 -1.180453
1940.19113 -4.859395999999999
1940.19386 -7.339806
1940.19659 -7.775996999999999
1940.19932 -5.523387
1940.20205 -0.3401709
1940.20478 7.459113
1940.20751 16.90469
1940.21024 26.28981
1940.21297 33.19908
1940.2157 34.90334
1940.21843 29.280890000000003
1940.22116 15.99068
1940.22389 -2.813603
1940.22662 -22.89491
1940.22935 -39.48276
1940.23208 -49.16612000000001
1940.23481 -51.04605
1940.23754 -46.57414
1940.24027 -38.39939
1940.243 -29.10348
1940.24573 -20.53114
1940.24846 -13.787400000000002
1940.25119 -9.488491
1940.25392 -7.876216
1940.25666 -8.761507
1940.25939 -11.511280000000001
1940.26212 -15.211409999999999
1940.26485 -18.90373
1940.26758 -21.71515
1940.27031 -22.850890000000003
1940.27304 -21.60185
1940.27577 -17.50044
1940.2785 -10.579279999999999
1940.28123 -1.562459
1940.28396 8.121695
1940.28669 16.48746
1940.28942 21.2656
1940.29215 20.36988
1940.29488 12.61803
1940.29761 -1.4788500000000002
1940.30034 -19.35368
1940.30307 -36.92915
1940.3058 -50.05138
1940.30853 -56.1233
1940.31126 -54.99717
1940.31399 -48.63613
1940.31672 -39.88178
1940.31945 -31.1952
1940.32218 -24.067890000000002
1940.32491 -19.15242
1940.32765 -16.64855
1940.33038 -16.49592
1940.33311 -18.31964
1940.33584 -21.38014
1940.33857 -24.71498
1940.3413 -27.38668
1940.34403 -28.624599999999997
1940.34676 -27.804930000000002
1940.34949 -24.43771
1940.35222 -18.337390000000003
1940.35495 -9.925443
1940.35768 -0.4105295
1940.36041 8.356940999999999
1940.36314 14.316699999999999
1940.36587 15.710420000000001
1940.3686 11.52113
1940.37133 1.826733
1940.37406 -11.95377
1940.37679 -27.106930000000002
1940.37952 -40.21086
1940.38225 -48.243480000000005
1940.38498 -49.743050000000004
1940.38771 -45.33934
1940.39044 -37.29349
1940.39317 -28.34345
1940.3959 -20.601689999999998
1940.39863 -15.10881
1940.40137 -12.065309999999998
1940.4041 -11.28397
1940.40683 -12.41765
1940.40956 -14.90939
1940.41229 -17.92854
1940.41502 -20.50233
1940.41775 -21.76522
1940.42048 -21.10136
1940.42321 -18.11478
1940.42594 -12.61046
1940.42867 -4.782308
1940.4314 4.469123000000001
1940.43413 13.4231
1940.43686 19.89598
1940.43959 21.97345
1940.44232 18.71478
1940.44505 10.46463
1940.44778 -1.279678
1940.45051 -14.24642
1940.45324 -25.840059999999998
1940.45597 -33.66466
1940.4587 -36.14939
1940.46143 -33.10595
1940.46416 -25.8646
1940.46689 -16.76773
1940.46962 -8.221999
1940.47235 -1.852818
1940.47509 1.7781770000000001
1940.47782 2.885212
1940.48055 1.9971130000000001
1940.48328 -0.2816613
1940.48601 -3.237491
1940.48874 -5.988417
1940.49147 -7.6046830000000005
1940.4942 -7.343157000000001
1940.49693 -4.781363000000001
1940.49966 0.2124213
1940.50239 7.48962
1940.50512 16.42417
1940.50785 25.61767
1940.51058 32.89738
1940.51331 35.898669999999996
1940.51604 33.05822
1940.51877 24.43224
1940.5215 11.802200000000001
1940.52423 -1.9831830000000001
1940.52696 -13.990979999999999
1940.52969 -21.987199999999998
1940.53242 -24.802549999999997
1940.53515 -22.39571
1940.53788 -15.778590000000001
1940.54061 -6.794536000000001
1940.54334 2.349448
1940.54608 9.736298
1940.54881 14.283499999999998
1940.55154 15.87642
1940.55427 15.073390000000002
1940.557 12.67708
1940.55973 9.494215
1940.56246 6.340223
1940.56519 4.085862
1940.56792 3.558052
1940.57065 5.336529
1940.57338 9.629793
1940.57611 16.290480000000002
1940.57884 24.810190000000002
1940.58157 34.13532
1940.5843 42.43817
1940.58703 47.24907
1940.58976 46.22649
1940.59249 38.31691
1940.59522 24.58753
1940.59795 8.087659
1940.60068 -7.280473
1940.60341 -18.22884
1940.60614 -23.075689999999998
1940.60887 -21.8858
1940.6116 -15.982190000000001
1940.61433 -7.311905
1940.61706 2.0377840000000003
1940.6198 10.18853
1940.62253 15.792309999999999
1940.62526 18.28485
1940.62799 17.91196
1940.63072 15.474250000000001
1940.63345 11.957869999999998
